título,descripción,categoría,subcategoría,edad_min,edad_max,requiere_inscripcion,periodicidad,día_días,hora_inicio,hora_fin,fecha_inicio,fecha_fin,ciudad,distrito,precio_valor,recomendado,tiene_url_info,tiene_url_imagen
Desafíos globales que definirán nuestro futuro: la UE en la encrucijada,"A cargo de D. Miguel Ángel Muñoz Martínez, Director General de Relaciones Internacionales.",No especificada,No especificada,14,18,,,martes,19:00,,06/05/2025,06/05/2025,Madrid,Villa de Vallecas,0.0,True,True,True
A taste of the moon,Vamos a leer en inglés y a divertirnos en la biblioteca.,Educación,Idiomas,2,18,,,miércoles,18:00,,07/05/2025,07/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
'Cuentos en la granja',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,miércoles,18:00,,07/05/2025,07/05/2025,Madrid,Retiro,0.0,True,True,True
"Miau, miau","Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,3,18,True,,miércoles,18:00,,07/05/2025,07/05/2025,Madrid,Barajas,0.0,True,True,True
Viaje al centro del laberinto,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,4,18,True,,miércoles,18:00,,07/05/2025,07/05/2025,Madrid,San Blas-Canillejas,0.0,True,True,True
Maratón de cuentos y festival de las culturas europeas,"Leer y contar historias es una actividad en la que se reúnen personas y en la que la palabra es la protagonista. El objetivo de este cuentacuentos, será el de mostrar la diversidad lingüística y cultural de Europa.",Cultura y Espectáculos. Deporte,Carreras y eventos. Club de lectura,4,18,True,,miércoles,17:30,,07/05/2025,07/05/2025,Madrid,Centro,0.0,True,True,True
Jugamos por Europa,Tarde de juegos dinamizada para niños/as en los que disfrutaremos con los juegos de mesa donados por el Centro de Documentación Europea.,No especificada,No especificada,5,18,,,jueves,18:00,,08/05/2025,08/05/2025,Madrid,San Blas-Canillejas,0.0,True,False,True
¿Jugamos con Europa...?,"La biblioteca celebra el Día de Europa, jugando con nuestros usuarios más pequeños el juego que ha creado la Comunidad Europea ""Jugamos por Europa"". Mediante el juego se aprenderá y se recordará información sobre otros países, además del nuestro.",No especificada,No especificada,8,18,,,lunes,18:00,,08/05/2025,08/05/2025,Madrid,Carabanchel,0.0,True,False,True
En el bosque,"Duendes, tesoros, aventuras, misterios... Las bibliotecas están llenas de historias que cuenteros y cuenteras nos acercan a través de su creatividad y su magia.",Cultura y Espectáculos,Magia,2,18,,,jueves,18:00,,08/05/2025,08/05/2025,Madrid,Puente de Vallecas,0.0,True,True,True
'Si las nubes fueran de algodón',"Nunca es demasiado pronto para iniciar a los bebés en el maravilloso mundo del libro y la lectura. Además de estimular su imaginación, descubrirán colores, sonidos y palabras que enriquecerán su vocabulario.",Cultura y Espectáculos,Club de lectura,,,True,,jueves,17:30,,08/05/2025,08/05/2025,Madrid,Villa de Vallecas,0.0,True,True,True
